Stimulus_Number,Social_NonSocial,Face_NoFace,Person_NoPerson
150296,Social,Face,Person
150474,Social,Face,Person
285933,Non-Social,No Face,No Person
285948,Social,Face,Person
285992,Social,Face,Person
285993,Non-Social,No Face,No Person
286001,Non-Social,No Face,No Person
497926,Social,Face,Person
498151,Non-Social,No Face,No Person
498155,Social,Face,Person
498396,Social,Face,Person
713017,Social,Face,Person
713089,Social,Face,Person
713135,Social,Face,Person
713142,Non-Social,No Face,No Person
713274,Social,Face,Person
713285,Non-Social,No Face,No Person
713330,Non-Social,No Face,No Person
713519,Social,No Face,Person
713707,Social,Face,Person
713807,Social,Face,Person
1159318,Social,Face,Person
1159325,Non-Social,No Face,No Person
1159329,Social,Face,Person
1159440,Social,Face,Person
1159482,Non-Social,No Face,No Person
1159497,Social,Face,Person
1159508,Non-Social,No Face,No Person
1159515,Social,Face,Person
1159606,Non-Social,No Face,No Person
1159775,Social,Face,Person
1159777,Non-Social,No Face,No Person
1159813,Social,Face,Person
1159819,Social,Face,Person
1159870,Social,No Face,Person
1159956,Non-Social,No Face,Person
1160049,Non-Social,No Face,Person
1160140,Non-Social,No Face,Person
1160168,Non-Social,No Face,No Person
1160171,Social,Face,Person
1160227,Non-Social,Face,No Person
1160247,Social,Face,Person
1591932,Non-Social,No Face,No Person
1591975,Social,Face,Person
1591977,Social,No Face,Person
1592044,Social,Face,Person
1592094,Non-Social,No Face,No Person
1592137,Social,No Face,Person
1592201,Non-Social,No Face,No Person
1592254,Social,Face,Person
1592303,Non-Social,No Face,No Person
1592372,Non-Social,No Face,No Person
1592530,Social,Face,Person
1592568,Non-Social,No Face,No Person
1592727,Social,No Face,Person
1592747,Social,Face,Person
1592804,Non-Social,No Face,No Person
1592836,Non-Social,No Face,No Person
1593056,Social,Face,Person
1593102,Social,Face,Person