run,start_time,type,moviestim,jitters,frames,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,welcome_key.started,welcome_key.keys,welcome_key.rt,fix3.started,fix3.stopped,movie.started,text_15.started,key_resp_9.started,text_15.stopped,key_resp_9.stopped,key_resp_9.keys,key_resp_9.rt,fix4.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,13.64213889988605,13.64213889988605,['equal'],[23.94027320004534],,,,,,,,,,,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,10.0,scrambled,fps_60/1591975.bmp_pp86_L2_V1_scrambled_freeview_isoFalse_fps60.mp4,10.0,None,0,0,0,0,,,,,37.602570999995805,47.96403749997262,47.96403749997262,51.04970379988663,51.04970379988663,54.052664699964225,54.052664699964225,['2'],[0.5003369000041857],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,19.59,scrambled,fps_60/1592804.bmp_pp60_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,3.59,None,0,1,1,1,,,,,54.052664699964225,58.14397089998238,58.14397089998238,61.22391229995992,61.22391229995992,,,['2'],[0.8231288000242785],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,28.07,scrambled,fps_60/1159318.bmp_pp93_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.4800000000000004,None,0,2,2,2,,,,,64.23630149988458,67.11946099996567,67.11946099996567,70.24331949988846,70.24331949988846,73.25285629997961,73.25285629997961,['2'],[0.9442537999711931],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,36.17,veridical,fps_60/1159482.bmp_pp97_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.1000000000000014,None,0,3,3,3,,,,,73.25285629997961,75.73618229990825,75.73618229990825,78.82324319996405,78.82324319996405,81.82982189999893,81.82982189999893,['1'],[1.0519087000284344],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,44.9,veridical,fps_60/1591975.bmp_pp86_L2_V1_veridical_freeview_isoFalse_fps60.mp4,2.729999999999997,None,0,4,4,4,,,,,81.82982189999893,84.89369419997092,84.89369419997092,88.01201869989745,88.01201869989745,91.02157959993929,91.02157959993929,['1'],[0.9911711000604555],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,53.57,veridical,fps_60/1159777.bmp_pp56_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.6700000000000017,None,0,5,5,5,,,,,91.02157959993929,94.12322599999607,94.12322599999607,97.22479569993448,97.22479569993448,100.23367389990017,100.23367389990017,['1'],[1.9668596000410616],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,64.99,veridical,fps_60/1592804.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps60.mp4,5.419999999999995,None,0,6,6,6,,,,,100.23367389990017,106.10526839992963,106.10526839992963,109.19104179996066,109.19104179996066,112.20074319990817,112.20074319990817,['1'],[1.370477700023912],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,73.26,scrambled,fps_60/1159777.bmp_pp56_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.2700000000000102,None,0,7,7,7,,,,,112.20074319990817,114.86545849998947,114.86545849998947,117.98761409998406,117.98761409998406,120.98930999997538,120.98930999997538,['2'],[0.6717398000182584],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,82.26,veridical,fps_60/1159318.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps60.mp4,3.0,None,0,8,8,8,,,,,120.98930999997538,124.41692849993706,124.41692849993706,127.54568269988522,127.54568269988522,130.54675689991564,130.54675689991564,['2'],[1.2511885000858456],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,93.48,scrambled,fps_60/1592568.bmp_pp81_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,5.219999999999999,None,0,9,9,9,,,,,130.54675689991564,136.20172489993274,136.20172489993274,139.27447519998532,139.27447519998532,142.27415899990592,142.27415899990592,['1'],[1.417862700065598],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,104.93,scrambled,fps_60/1159497.bmp_pp91_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,5.450000000000003,None,0,10,10,10,,,,,142.27415899990592,148.1822100999998,148.1822100999998,151.25480569992214,151.25480569992214,,,['2'],[1.2512504999758676],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,115.01,veridical,fps_60/1592372.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps60.mp4,4.079999999999998,None,0,11,11,11,,,,,154.27021159988362,158.73912809998728,158.73912809998728,161.8044543999713,161.8044543999713,,,['1'],[1.1047493999358267],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,126.17,veridical,fps_60/1592568.bmp_pp81_L1_V1_veridical_freeview_isoFalse_fps60.mp4,5.159999999999997,None,0,12,12,12,,,,,164.8164724999806,170.40618119994178,170.40618119994178,173.4766488999594,173.4766488999594,176.4851348999655,176.4851348999655,['1'],[0.9055910999886692],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,136.27,veridical,fps_60/1593102.bmp_pp80_L3_V1_veridical_freeview_isoFalse_fps60.mp4,4.1000000000000085,None,0,13,13,13,,,,,176.4851348999655,181.05360129999463,181.05360129999463,184.12490209995303,184.12490209995303,187.12751209991984,187.12751209991984,['1'],[0.67401840002276],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,147.81,veridical,fps_60/1159497.bmp_pp91_L3_V1_veridical_freeview_isoFalse_fps60.mp4,5.539999999999992,None,0,14,14,14,,,,,187.12751209991984,193.09191169997212,193.09191169997212,196.1771004999755,196.1771004999755,199.18860229989514,199.18860229989514,['2'],[1.7673668999923393],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,156.79,veridical,fps_60/1592727.bmp_pp69_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.9799999999999898,None,0,15,15,15,,,,,199.18860229989514,202.577791199903,202.577791199903,205.6825101999566,205.6825101999566,208.6829435999971,208.6829435999971,['1'],[0.7168063999852166],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,164.95,scrambled,fps_60/1159482.bmp_pp97_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.1599999999999966,None,0,16,16,16,,,,,208.6829435999971,211.23022079991642,211.23022079991642,214.31290079990868,214.31290079990868,217.31287119991612,217.31287119991612,['2'],[0.7041155000915751],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,173.04,scrambled,fps_60/1592372.bmp_pp89_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.0900000000000034,None,0,17,17,17,,,,,217.31287119991612,219.74388219998218,219.74388219998218,222.85708099999465,222.85708099999465,225.86585519998334,225.86585519998334,['2'],[0.8323399999644607],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,181.66,scrambled,fps_60/1593102.bmp_pp80_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.6200000000000045,None,0,18,18,18,,,,,225.86585519998334,228.8466140999226,228.8466140999226,231.96451959991828,231.96451959991828,234.96923939988483,234.96923939988483,['2'],[0.7685931000160053],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
4,190.0,scrambled,fps_60/1592727.bmp_pp69_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.3400000000000034,None,0,19,19,19,,,,,234.96923939988483,237.68971819989383,237.68971819989383,240.80723679997027,240.80723679997027,,,['2'],[0.9366958999307826],,sub_1,4,2023-08-18_12h17.09.696,run_1,2023.1.2,59.984476011130845,
,,,,,,,,,,,,,,,,,,,,,,,243.8203623999143,,,,,,,
